"","baseMean","log2FoldChange","lfcSE","pvalue","padj","adjusted_padj"
"Ssr1",7212.68383058292,-0.75241741403697,0.0746253714193261,9.71180417619206e-25,1.40886633391928e-22,1.51464742432042e-20
"Ocstamp",73.1818256281603,-3.76972536966142,0.376340532831494,1.27113198487476e-24,1.82350945074645e-22,1.9391140036973e-20
"Dolpp1",1289.35171744964,-0.786134196067907,0.0790122347525012,2.91750984962939e-24,4.13933732621595e-22,4.22936521114383e-20
"Timp2",4878.76008577092,-1.36941339514581,0.138900000577287,6.21520465841433e-24,8.72222905921603e-22,8.75197409677695e-20
"Fabp1",3923.31239820289,3.24602335597797,0.335174393844207,6.83753830441997e-24,9.49241473638347e-22,9.48829287046984e-20
"Clec4a3",9421.18174285889,-1.10766392902361,0.11399675052078,2.22268750074256e-23,3.05288492788162e-21,2.9103178046965e-19
"Lman2",10816.6665512279,-0.636905069128539,0.0650903341411694,2.35406449093032e-23,3.1992975413054e-21,3.04248142609731e-19
"Cd101",1809.5961517356,1.50579439540682,0.156246894982141,2.59679888682682e-23,3.49242400289802e-21,3.30676930391222e-19
"Crat",4566.39285713487,-0.775669361403466,0.0795725455311833,3.17847115599761e-23,4.23064341186444e-21,3.97497643785093e-19
"Gm15987",41.7423945381155,-3.94281162432407,0.407489049361184,3.75000155331171e-23,4.94043571987832e-21,4.58137609066347e-19
"Igf1",1215.80387523615,-2.0143524417583,0.208249504026875,3.80084601250765e-23,4.95684069368548e-21,4.59114903824837e-19
"Arhgap10",287.599956869445,-1.78022163252232,0.186507819447181,1.07389478586561e-22,1.38650555803108e-20,1.22755932132196e-18
"Mpp6",2832.50627605195,-0.922975160340876,0.0966763180949953,1.30838521660745e-22,1.67253084471473e-20,1.47578691197794e-18
"Idh2",4094.52604207248,-0.720346755125427,0.0754336214348773,1.41375501565884e-22,1.78950892227169e-20,1.57191588451758e-18
"Ssr2",3928.77619583818,-1.07138888518931,0.112393958642116,1.44552339439868e-22,1.81195655777489e-20,1.5898496855472e-18
"Clec4a1",214.779895016115,-1.95474940628068,0.205902517028953,1.91057341441196e-22,2.37186666860316e-20,2.06492232130027e-18
"Nans",3799.44792044041,-0.716361963435821,0.0751040923124797,2.07793418447014e-22,2.55506745292324e-20,2.21456156445726e-18
"Tfrc",574.184949942849,-1.2267113039428,0.129511506208755,2.49579761447194e-22,3.03992858494785e-20,2.61741529845466e-18
"Mcf2l",80.2720925000708,-3.05815392274611,0.322944507389409,2.57931162215154e-22,3.11228900500921e-20,2.67383546944073e-18
"Acss1",2432.83952652813,1.18638323827337,0.125728117719157,2.83648508017463e-22,3.3909128583458e-20,2.8956967946199e-18
"Krt78",252.139660083333,-1.52828997717218,0.161795953032008,2.87952958401623e-22,3.41078958341592e-20,2.90793962457113e-18
"Tent5c",164.330546483198,-2.6971778187529,0.285998565352964,3.42842918673446e-22,4.02404083908442e-20,3.41960456364583e-18
"Smap2",7871.05378586684,-0.925093343140323,0.0980419598509604,4.8616085556735e-22,5.65479532092798e-20,4.74869324664967e-18
"Tram1",4907.23159837178,-0.773764039583568,0.0821322086342681,5.6353078127288e-22,6.49620171161978e-20,5.43777244023137e-18
"Tmem216",660.015901964149,1.92640676688745,0.208404799055638,8.70512421890634e-22,9.94618219383183e-20,8.20282292499939e-18
"Tacc2",1199.62031404224,0.963910118742741,0.10318562284408,9.1884697515889e-22,1.04063449967337e-19,8.55528358733572e-18
"Atp5a1",26216.2310195617,-0.706893006047072,0.0753302061978472,9.46925866823586e-22,1.04493674073157e-19,8.56366690576929e-18
"Adhfe1",242.974757818375,-1.75725035700657,0.188629904521621,9.46525940703684e-22,1.04493674073157e-19,8.56366690576929e-18
"Sec63",3753.86037504552,-0.609417607470409,0.0647713866429579,9.39208559482859e-22,1.04493674073157e-19,8.56366690576929e-18
"Vstm2a",1242.97858970617,1.39520168688729,0.150423233187683,1.00728398223811e-21,1.1021223300573e-19,8.98528190461094e-18
"4931406C07Rik",1453.72251961547,1.1992279525155,0.129365935500878,1.03914454726492e-21,1.12742817224684e-19,9.18202844215099e-18
"Cfp",8229.68639759568,-1.0559781923392,0.114111316076775,1.6871903683072e-21,1.81527623710118e-19,1.45523580311321e-17
"Kif1a",358.376821625678,-2.087585755032,0.225456081739205,1.85930413982745e-21,1.96873265333759e-19,1.56909195362647e-17
"Il31ra",63.9959377387618,-4.0889218903494,0.440508057409173,1.86031588341093e-21,1.96873265333759e-19,1.56909195362647e-17
"Sec61b",3112.26641061891,-1.28400916404087,0.138854098077689,2.62133728249649e-21,2.75155167921238e-19,2.16652860890579e-17
"Magt1",3642.547250141,-0.630214769222426,0.0680921953240161,3.88406817721555e-21,4.04412937387339e-19,3.13694578370242e-17
"Tlr11",40.9605481369008,-3.48319730519072,0.379626844544669,4.21485892377799e-21,4.35344348519181e-19,3.36022295672606e-17
"Dnajc3",9004.41726655423,-0.992138856045555,0.10812325293412,4.26191111604596e-21,4.36710590629122e-19,3.36744739765309e-17
"Gfra2",104.357959102039,-7.31147113513704,0.77064996264349,4.30804461009355e-21,4.37961920952109e-19,3.37377241193285e-17
"Abcb8",823.551865047232,-1.03087157958229,0.112428824344676,5.34924181196922e-21,5.39562976830739e-19,4.13203874213646e-17
"Slc31a1",1097.75864684856,-0.837891893041641,0.0916052444181041,6.69485463192477e-21,6.70056342269618e-19,5.10142312101886e-17
"Sdhd",4853.33683913713,-0.876961015234298,0.0976802798918224,1.97060484247349e-20,1.95711377855194e-18,1.4369180768494e-16
"Anxa4",22341.595749641,-0.854006048596005,0.094763468583294,2.15976884651955e-20,2.11248299828893e-18,1.53800552878215e-16
"Cyb561a3",21147.13328243,0.992124185285301,0.109746207750815,2.15553912032578e-20,2.11248299828893e-18,1.53800552878215e-16
"Spcs2",6803.3981506124,-1.0492610577572,0.117187725564203,3.00629576234578e-20,2.91836726222905e-18,2.09549479032678e-16
"Uba5",2274.8007800728,-0.819582216309759,0.0912615470652628,3.33962426951372e-20,3.21775290624564e-18,2.29363068269783e-16
"Calu",6735.31386863896,-0.652034165442186,0.0725805367707322,3.76795629001405e-20,3.60356175262011e-18,2.55467721132758e-16
"Fam107b",3471.63424134341,1.10658736674498,0.124618961587783,4.55525815430827e-20,4.32448073752015e-18,3.03745130904419e-16
"Klk1b11",203.006242604246,-2.7851778734914,0.312115599020619,4.59168132973081e-20,4.32724070424485e-18,3.03745130904419e-16
"Mmp12",4420.9847031367,-3.18528034788818,0.356292268728949,5.03616074044365e-20,4.71172980578753e-18,3.28377778254468e-16
"Slc39a6",1279.14220438673,-0.927112124514686,0.103922124930545,6.53418735609808e-20,6.06927287443038e-18,4.19626952994848e-16
"C3",29622.5872648289,-1.84167378732978,0.207909976663949,7.83322488077773e-20,7.22391188826581e-18,4.94651520426082e-16
"Adamtsl5",174.614397296435,-2.13086776767794,0.241293508833792,8.92856881392045e-20,8.17565616712957e-18,5.55930413185546e-16
"Casp6",1018.24702150167,-1.26335164602047,0.143901824379806,1.6386555758226e-19,1.4899071929187e-17,9.89890291689092e-16
"Slc7a2",35614.1307717862,-1.29830554816931,0.1492185610777,1.78581433488547e-19,1.61235306837107e-17,1.06581440244198e-15
"Clybl",353.336586951655,-1.18110298340194,0.135946982563223,2.9349806095876e-19,2.63149546183233e-17,1.71630519846474e-15
"Maml3",330.064815494005,1.46126852672434,0.169191842750832,3.03012053951664e-19,2.69806112315168e-17,1.75679244479691e-15
